0.06298475,0.10945897,0.04154275,0.04908118,0.02974265,0.02622824,0.03773063,0.01538309,0.03935141,0.06834642,0.00478819,0.00427040,0.02263315,0.03585131,0.02140311,0.07150357,0.04046700,0.00207564,0.02647991,0.06265010,0.14971392,0.01108717,0.00772119,0.05150808,0.00042251,0.00715137,0.00042328
0.07318469,0.00027849,0.02261285,0.04406442,0.03620990,0.00121992,0.00730260,0.02014660,0.00134261,0.03114103,0.00115655,0.01030326,0.10701387,0.02803313,0.19535501,0.00045525,0.01996169,0.00022087,0.10577875,0.08572284,0.14630655,0.01171379,0.02016704,0.00589625,0.00185395,0.02139007,0.00116802
0.01729163,0.07792138,0.00582693,0.00100704,0.00131860,0.30713714,0.00007766,0.00013615,0.00056323,0.05681218,0.01237778,0.00004989,0.12439335,0.00166766,0.00111637,0.10414633,0.00029160,0.00000655,0.05945713,0.02442692,0.00911574,0.09856817,0.00204865,0.00015726,0.00001472,0.09405091,0.00001904
0.03766006,0.12734959,0.00014898,0.01967360,0.00052793,0.15414952,0.00033321,0.00020961,0.14145361,0.06660975,0.00002486,0.02783471,0.03526161,0.00063065,0.00020351,0.18785667,0.00031108,0.00129548,0.03536679,0.00540076,0.10908302,0.03848050,0.00004926,0.00003281,0.00000736,0.00987217,0.00017290
0.54583898,0.03131648,0.00057485,0.00052221,0.00886244,0.15854795,0.00057601,0.00642703,0.00112739,0.10219264,0.00099129,0.00006980,0.00670418,0.00376806,0.00156915,0.03902138,0.00035919,0.00014651,0.01771389,0.02617402,0.00060028,0.03077613,0.00394965,0.00169208,0.00000953,0.01045271,0.00001618
0.33643396,0.04358914,0.00171487,0.03023161,0.07399021,0.02391794,0.01030763,0.00757155,0.00166737,0.01161369,0.00028798,0.00104334,0.03358988,0.02366826,0.09211369,0.00459226,0.01086767,0.00362640,0.12973934,0.08483867,0.02613506,0.00197325,0.01613828,0.00739861,0.01355782,0.00910501,0.00028651
0.40948948,0.05399915,0.00009028,0.00018981,0.00016310,0.07789493,0.04817672,0.00016844,0.00006033,0.09370367,0.00002412,0.00003846,0.02137081,0.00022585,0.00013806,0.16059947,0.00007313,0.00000174,0.07019524,0.00181408,0.02688910,0.03160104,0.00000943,0.00007534,0.00000948,0.00299566,0.00000308
0.32819911,0.06267739,0.00020933,0.00009690,0.00133735,0.16304127,0.00050983,0.01047807,0.09629659,0.06418404,0.00001641,0.00011017,0.02566605,0.00417271,0.02778342,0.05592646,0.00017433,0.00000519,0.08329124,0.02166881,0.00651956,0.03630413,0.00001790,0.00027412,0.00000836,0.01097976,0.00005151
0.11202045,0.14495880,0.00068737,0.00019232,0.00044728,0.48145210,0.00035124,0.00004326,0.00008180,0.11951067,0.00000712,0.00003663,0.00197168,0.00199537,0.00403326,0.07592740,0.00009272,0.00006622,0.01321443,0.00229929,0.02038489,0.01153903,0.00003495,0.00074755,0.00000147,0.00784310,0.00005959
0.02073986,0.02992678,0.01030754,0.07303999,0.03089075,0.04020934,0.02124759,0.02665261,0.00021861,0.00238157,0.00011613,0.00448592,0.04511084,0.03321731,0.25430912,0.08728032,0.00932577,0.00118165,0.03294682,0.11796139,0.11742238,0.00181986,0.03009046,0.00006529,0.00230313,0.00002316,0.00672581
